Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,1.720000,1.720000,1.670000,1.690000,1.484843,2289800
2015-04-28,1.700000,1.710000,1.690000,1.700000,1.493629,1568900
2015-04-29,1.690000,1.700000,1.660000,1.660000,1.458485,1016200
2015-04-30,1.670000,1.720000,1.670000,1.710000,1.502415,2189700
2015-05-05,1.710000,1.750000,1.700000,1.750000,1.537559,3283900
2015-05-06,1.760000,1.760000,1.670000,1.720000,1.511201,2132700
2015-05-07,1.720000,1.720000,1.670000,1.680000,1.476057,3438200
2015-05-08,1.670000,1.710000,1.670000,1.700000,1.493629,1696000
2015-05-11,1.710000,1.720000,1.690000,1.700000,1.493629,1827100
2015-05-12,1.710000,1.710000,1.690000,1.700000,1.493629,1169700
2015-05-13,1.700000,1.710000,1.670000,1.690000,1.484843,2513600
2015-05-14,1.670000,1.710000,1.670000,1.690000,1.487836,1605900
2015-05-15,1.670000,1.700000,1.670000,1.670000,1.470229,482600
2015-05-18,1.670000,1.720000,1.670000,1.700000,1.496640,1824800
2015-05-19,1.700000,1.720000,1.700000,1.710000,1.505444,1346300
2015-05-20,1.700000,1.710000,1.690000,1.690000,1.487836,250800
2015-05-21,1.680000,1.700000,1.670000,1.670000,1.470229,2218800
2015-05-22,1.680000,1.700000,1.670000,1.670000,1.470229,1730000
2015-05-25,1.670000,1.680000,1.650000,1.660000,1.461425,2253200
2015-05-26,1.660000,1.690000,1.640000,1.650000,1.452621,2746100
2015-05-27,1.650000,1.650000,1.640000,1.640000,1.443817,3937700
2015-05-28,1.650000,1.680000,1.640000,1.660000,1.461425,1495900
2015-05-29,1.660000,1.660000,1.580000,1.610000,1.417406,4401000
2015-06-01,1.610000,1.680000,1.610000,1.680000,1.479032,899100
2015-06-02,1.690000,1.690000,1.650000,1.660000,1.461425,1502100
2015-06-03,1.680000,1.710000,1.670000,1.700000,1.496640,1581500
2015-06-04,1.710000,1.720000,1.690000,1.720000,1.514248,1145200
2015-06-05,1.710000,1.710000,1.680000,1.700000,1.496640,3248800
2015-06-08,1.700000,1.710000,1.650000,1.700000,1.496640,2775300
2015-06-09,1.700000,1.700000,1.650000,1.660000,1.461425,3398300
2015-06-10,1.670000,1.670000,1.650000,1.660000,1.461425,2091400
2015-06-11,1.660000,1.670000,1.650000,1.670000,1.470229,2249000
2015-06-12,1.660000,1.680000,1.660000,1.660000,1.461425,872900
2015-06-15,1.660000,1.670000,1.640000,1.640000,1.443817,3029700
2015-06-16,1.630000,1.650000,1.620000,1.620000,1.426210,2906100
2015-06-17,1.620000,1.630000,1.610000,1.620000,1.426210,2946300
2015-06-18,1.620000,1.630000,1.600000,1.610000,1.417406,4332800
2015-06-19,1.620000,1.620000,1.600000,1.610000,1.417406,4323000
2015-06-22,1.610000,1.620000,1.600000,1.600000,1.408602,6192800
2015-06-23,1.600000,1.610000,1.590000,1.590000,1.399798,4753700
2015-06-24,1.590000,1.610000,1.590000,1.600000,1.408602,3719100
2015-06-25,1.600000,1.600000,1.590000,1.590000,1.399798,4515300
2015-06-26,1.600000,1.600000,1.590000,1.600000,1.408602,1391900
2015-06-29,1.600000,1.600000,1.550000,1.580000,1.390995,4540200
2015-06-30,1.580000,1.580000,1.540000,1.540000,1.355780,6528100
2015-07-01,1.550000,1.580000,1.540000,1.570000,1.382191,6847400
2015-07-02,1.580000,1.580000,1.560000,1.570000,1.382191,4404000
2015-07-03,1.570000,1.580000,1.560000,1.570000,1.382191,15091300
2015-07-06,1.570000,1.570000,1.550000,1.570000,1.382191,12200000
2015-07-07,1.570000,1.570000,1.560000,1.560000,1.373387,7876500
2015-07-08,1.550000,1.560000,1.540000,1.550000,1.364583,6037000
