Date, Close/Last, Volume, Open, High, Low
12/20/2019,279.44,68972090,282.23,282.65,278.56
12/19/2019,280.02,24626950,279.5,281.18,278.95
12/18/2019,279.74,29024690,279.8,281.9,279.12
12/17/2019,280.41,28575800,279.57,281.77,278.8
12/16/2019,279.86,32081110,277,280.79,276.98
12/15/2019,275.15,33432810,271.46,275.3,270.93
12/14/2019,271.46,34437040,267.78,272.5599,267.321
12/13/2019,270.77,19723390,268.81,271.1,268.5
12/12/2019,268.48,22632380,268.6,270.07,265.86
